epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.706,0.78485,2.04908,1.18168,0.48604,1,0.995,0.89119,0.41322,2.35584,0.70403,0.00022,0.00022,0.00022
2,66.7439,0.71188,1.10139,1.09634,0.51366,0.57778,0.63983,0.37431,0.60379,2.41398,0.89787,0.000450892,0.000450892,0.000450892
3,97.6062,0.73999,0.99854,1.11628,0.00319,0.95556,0.63972,0.39051,1.23943,3.11261,1.46499,0.00067228,0.00067228,0.00067228
4,125.739,0.77123,1.00667,1.11671,0.83713,1,0.90747,0.674,0.74172,2.14793,1.06714,0.000884164,0.000884164,0.000884164
5,151.988,0.71623,0.93591,1.06269,0.96918,1,0.99174,0.86323,0.50825,1.55715,0.86178,0.00108654,0.00108654,0.00108654
6,179.152,0.76085,0.92705,1.0848,0.79814,1,0.87342,0.61237,0.63655,1.6264,0.93786,0.00127942,0.00127942,0.00127942
7,206.085,0.74301,0.84271,1.09694,0.99556,1,0.995,0.90056,0.47226,1.27843,0.7951,0.00146279,0.00146279,0.00146279
8,233.134,0.70928,0.82406,1.06265,0.9941,1,0.995,0.8869,0.54446,1.15672,0.89652,0.00163666,0.00163666,0.00163666
9,264.609,0.73966,0.76848,1.0503,0.99571,1,0.995,0.86708,0.70151,1.16222,1.1659,0.0016832,0.0016832,0.0016832
10,298.382,0.68122,0.74514,1.03036,0.998,1,0.995,0.86386,0.61212,1.01529,0.95765,0.0016436,0.0016436,0.0016436
11,330.411,0.76435,0.72569,1.08331,0.99824,1,0.995,0.81139,0.78931,0.96187,1.11635,0.001604,0.001604,0.001604
12,362.107,0.70633,0.70636,1.05532,0.7354,0.98828,0.86441,0.64458,0.96572,1.50084,0.94879,0.0015644,0.0015644,0.0015644
13,392.478,0.73193,0.66938,1.05932,0.93626,0.97935,0.98245,0.78915,0.49834,1.15944,0.75823,0.0015248,0.0015248,0.0015248
14,420.5,0.74425,0.68561,1.08892,0.89201,1,0.96867,0.70118,0.80018,1.57102,0.89857,0.0014852,0.0014852,0.0014852
15,448.45,0.73317,0.65767,1.0776,0.99841,1,0.995,0.92037,0.45956,0.73898,0.81769,0.0014456,0.0014456,0.0014456
16,477.3,0.72338,0.62697,1.06607,0.9977,1,0.995,0.84495,0.65642,0.71313,0.85718,0.001406,0.001406,0.001406
17,505.684,0.65345,0.60989,1.02436,0.99471,1,0.995,0.84738,0.61798,0.89209,0.9276,0.0013664,0.0013664,0.0013664
18,538.681,0.61993,0.55052,1.01182,0.79171,1,0.96937,0.66515,0.75224,1.20837,1.00854,0.0013268,0.0013268,0.0013268
19,576.176,0.60871,0.5565,1.01508,0.96829,1,0.995,0.37873,1.70202,2.05504,1.66025,0.0012872,0.0012872,0.0012872
20,606.411,0.62511,0.60462,1.04358,0.99302,1,0.995,0.83289,0.84834,0.73747,1.18572,0.0012476,0.0012476,0.0012476
21,640.099,0.64641,0.55364,1.03195,0.99875,1,0.995,0.88879,0.43483,0.46569,0.73886,0.001208,0.001208,0.001208
22,669.477,0.63331,0.52662,1.01706,0.99903,1,0.995,0.87509,0.54469,0.59101,0.75229,0.0011684,0.0011684,0.0011684
23,698.837,0.64292,0.51172,1.04848,1,0.99965,0.995,0.82603,0.52386,0.56144,0.72709,0.0011288,0.0011288,0.0011288
24,729.063,0.62019,0.54485,1.04477,0.9783,0.57778,0.62492,0.5344,0.94589,0.901,1.17463,0.0010892,0.0010892,0.0010892
25,758.105,0.60563,0.50268,1.01932,0.95191,0.95556,0.95274,0.49028,1.19126,0.94545,1.45902,0.0010496,0.0010496,0.0010496
26,786.651,0.58826,0.4739,0.99713,0.99831,1,0.995,0.81232,0.73097,0.61513,0.94041,0.00101,0.00101,0.00101
27,817.944,0.59917,0.48029,1.01841,0.99836,1,0.995,0.88719,0.55282,0.51551,0.84988,0.0009704,0.0009704,0.0009704
28,848.41,0.61852,0.47485,1.05144,0.9982,1,0.995,0.78246,0.72383,0.62699,0.90787,0.0009308,0.0009308,0.0009308
29,879.363,0.59237,0.46212,1.00299,0.99798,1,0.995,0.89483,0.57289,0.57256,0.83337,0.0008912,0.0008912,0.0008912
30,910.276,0.53707,0.43068,0.98891,0.99868,1,0.995,0.87573,0.62871,0.45926,0.79533,0.0008516,0.0008516,0.0008516
31,939.407,0.62171,0.46493,1.01454,0.99872,1,0.995,0.86344,0.71663,0.47849,0.82789,0.000812,0.000812,0.000812
32,968.907,0.58805,0.46554,1.02184,0.99871,1,0.995,0.92636,0.38851,0.45321,0.69957,0.0007724,0.0007724,0.0007724
33,997.98,0.56161,0.43508,1.00784,0.99855,1,0.995,0.91654,0.46596,0.47901,0.69604,0.0007328,0.0007328,0.0007328
34,1027.93,0.527,0.42073,0.98374,0.9985,1,0.995,0.90646,0.50863,0.47126,0.76778,0.0006932,0.0006932,0.0006932
35,1056.69,0.54984,0.42772,0.98182,0.99862,1,0.995,0.86793,0.61037,0.43574,0.83219,0.0006536,0.0006536,0.0006536
36,1086.61,0.54107,0.43326,1.01146,0.99877,1,0.995,0.90448,0.46799,0.40812,0.76077,0.000614,0.000614,0.000614
37,1117.51,0.49678,0.40357,0.96752,0.99879,1,0.995,0.8779,0.50348,0.40825,0.80242,0.0005744,0.0005744,0.0005744
38,1147.59,0.51636,0.41267,0.97047,0.99877,1,0.995,0.91784,0.4642,0.41271,0.75568,0.0005348,0.0005348,0.0005348
39,1176.28,0.52216,0.39895,0.96599,0.99878,1,0.995,0.91841,0.45808,0.38607,0.75499,0.0004952,0.0004952,0.0004952
40,1204.88,0.50058,0.39514,0.9879,0.99876,1,0.995,0.88982,0.5159,0.39324,0.77958,0.0004556,0.0004556,0.0004556
41,1231.9,0.40293,0.48995,0.97051,0.99874,1,0.995,0.89529,0.56118,0.43228,0.71118,0.000416,0.000416,0.000416
42,1260.16,0.38689,0.43197,0.92076,0.99873,1,0.995,0.92939,0.42311,0.43206,0.68562,0.0003764,0.0003764,0.0003764
43,1287.77,0.37108,0.42046,0.92309,0.99881,1,0.995,0.94905,0.35269,0.35822,0.67776,0.0003368,0.0003368,0.0003368
44,1314.19,0.3805,0.38658,0.94828,0.9988,1,0.995,0.93742,0.4444,0.36137,0.69634,0.0002972,0.0002972,0.0002972
45,1342.03,0.38217,0.37841,0.93441,0.99874,1,0.995,0.92291,0.47822,0.38637,0.71688,0.0002576,0.0002576,0.0002576
46,1369.35,0.36097,0.37805,0.9225,0.99874,1,0.995,0.9113,0.49975,0.38747,0.72593,0.000218,0.000218,0.000218
47,1397.29,0.36652,0.37747,0.92499,0.99877,1,0.995,0.90875,0.50314,0.37444,0.71821,0.0001784,0.0001784,0.0001784
48,1424.13,0.35784,0.35703,0.92558,0.99878,1,0.995,0.90824,0.49669,0.35059,0.71713,0.0001388,0.0001388,0.0001388
49,1450.78,0.37834,0.36112,0.91896,0.99881,1,0.995,0.89483,0.54102,0.35728,0.72737,9.92e-05,9.92e-05,9.92e-05
50,1478.03,0.37491,0.34905,0.95345,0.99878,1,0.995,0.89436,0.54209,0.36988,0.72665,5.96e-05,5.96e-05,5.96e-05
