epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.5183,0.53088,0.56144,1.00615,0.33226,1,0.33167,0.1161,1.09252,97.9264,1.67787,0.00028,0.00028,0.00028
2,166.033,0.51838,0.45577,0.9737,0.33289,1,0.48306,0.1157,1.14591,201.321,1.64222,0.000568516,0.000568516,0.000568516
3,245.867,0.57089,0.53639,0.99949,0.51063,0.4702,0.49231,0.12465,1.07761,70.0622,1.63352,0.000845152,0.000845152,0.000845152
4,325.969,0.58846,0.52356,1.01719,0.41169,0.5,0.56727,0.14085,1.09827,110.176,1.85484,0.00110991,0.00110991,0.00110991
5,407.572,0.5867,0.53916,1.00137,0.00615,0.7,0.02567,0.0176,1.15178,51.7755,1.81144,0.00136278,0.00136278,0.00136278
6,488.192,0.61199,0.54869,1.03168,0.21908,0.9,0.28396,0.05943,1.45824,147.456,2.04248,0.00160378,0.00160378,0.00160378
7,566.952,0.60791,0.52045,1.00088,0.51061,0.5,0.59793,0.13746,1.16558,100.885,1.84497,0.0017624,0.0017624,0.0017624
8,645.882,0.64023,0.5504,1.02936,0.34319,0.55,0.665,0.17563,1.11416,126.58,1.94379,0.0017228,0.0017228,0.0017228
9,724.504,0.57185,0.54203,0.98077,0.52025,0.5,0.59044,0.15097,0.91842,81.0771,1.53034,0.0016832,0.0016832,0.0016832
10,803.542,0.56818,0.50451,0.99348,0.53144,0.55,0.695,0.20361,0.90581,78.2296,1.4835,0.0016436,0.0016436,0.0016436
11,882.04,0.5822,0.49286,0.99775,0.87589,0.55,0.6825,0.22652,0.93586,41.6468,1.25172,0.001604,0.001604,0.001604
12,961.507,0.61817,0.51818,0.99001,0.41272,0.52756,0.49759,0.13548,1.02905,66.1019,1.34929,0.0015644,0.0015644,0.0015644
13,1040.62,0.62056,0.4829,1.00999,0.38273,0.55,0.67319,0.19667,0.96222,95.2545,1.20934,0.0015248,0.0015248,0.0015248
14,1117.66,0.60642,0.48952,1.01631,0.47772,0.55,0.69254,0.1892,1.06484,95.3847,1.4725,0.0014852,0.0014852,0.0014852
15,1195.76,0.58302,0.46219,0.99014,0.58878,0.55,0.68136,0.19894,0.98405,92.6708,1.33719,0.0014456,0.0014456,0.0014456
16,1274.44,0.56627,0.4721,0.98711,0.73071,0.5,0.58916,0.13755,1.07068,76.0516,1.49441,0.001406,0.001406,0.001406
17,1354.2,0.58285,0.48459,1.0103,0.59707,0.55,0.65509,0.18683,0.93142,60.8145,1.25758,0.0013664,0.0013664,0.0013664
18,1433.57,0.56199,0.46692,0.99312,0.32609,1,0.66254,0.16783,1.06835,104.039,1.45065,0.0013268,0.0013268,0.0013268
19,1512.92,0.55038,0.4551,0.96023,0.36726,0.5,0.61515,0.16649,1.03049,81.3543,1.45133,0.0012872,0.0012872,0.0012872
20,1591.57,0.48353,0.44872,0.97661,0.30908,0.95,0.54428,0.14325,0.93077,78.4299,1.36924,0.0012476,0.0012476,0.0012476
21,1670.63,0.51308,0.46114,0.97819,0.44456,0.5,0.61463,0.16269,0.9423,98.1147,1.43347,0.001208,0.001208,0.001208
22,1749.06,0.564,0.43893,1.01144,0.79245,0.55,0.66516,0.16908,0.93603,68.6006,1.25916,0.0011684,0.0011684,0.0011684
23,1827.5,0.53754,0.46308,0.97681,0.31571,1,0.58353,0.17605,0.95402,88.6208,1.27161,0.0011288,0.0011288,0.0011288
24,1905.68,0.53387,0.45904,0.98265,0.27659,0.95,0.45645,0.12136,1.02001,99.6057,1.44279,0.0010892,0.0010892,0.0010892
25,1983.14,0.55636,0.44587,0.99723,0.28508,0.95,0.55681,0.15253,1.04503,99.8229,1.46496,0.0010496,0.0010496,0.0010496
26,2061.04,0.50993,0.43266,0.96312,0.30541,0.95,0.58429,0.16453,1.00525,106.122,1.46579,0.00101,0.00101,0.00101
27,2139.96,0.51548,0.40811,0.96787,0.47667,0.55,0.66886,0.1733,0.88188,100.844,1.27716,0.0009704,0.0009704,0.0009704
28,2217.31,0.48702,0.43389,0.9502,0.3116,1,0.62786,0.18404,0.92217,94.1668,1.3283,0.0009308,0.0009308,0.0009308
29,2296.56,0.51828,0.40801,0.97756,0.47475,0.55,0.65463,0.2023,0.8984,73.3568,1.25986,0.0008912,0.0008912,0.0008912
30,2376.51,0.50227,0.43842,0.97811,0.47559,0.55,0.64381,0.18341,0.94699,87.1657,1.36901,0.0008516,0.0008516,0.0008516
31,2455.87,0.49079,0.40839,0.96459,0.61013,0.55,0.63088,0.21328,0.88083,87.7614,1.2081,0.000812,0.000812,0.000812
32,2534.67,0.50033,0.4155,0.97564,0.31991,1,0.65683,0.20734,0.93261,104.59,1.29452,0.0007724,0.0007724,0.0007724
33,2612.84,0.51037,0.4215,0.97831,0.29303,1,0.53492,0.18527,0.85619,91.0901,1.21023,0.0007328,0.0007328,0.0007328
34,2690.91,0.45612,0.42001,0.94661,0.44817,0.55,0.55429,0.16937,0.92605,70.7163,1.32762,0.0006932,0.0006932,0.0006932
35,2769.37,0.45614,0.394,0.94137,0.29017,1,0.48966,0.17157,0.89279,86.4935,1.30117,0.0006536,0.0006536,0.0006536
36,2848.54,0.45819,0.3829,0.96188,0.43365,0.55,0.63595,0.20383,0.87,88.0949,1.29113,0.000614,0.000614,0.000614
37,2927.85,0.44534,0.39953,0.9395,0.46128,0.55,0.65652,0.17721,0.88304,86.5594,1.35102,0.0005744,0.0005744,0.0005744
38,3007.1,0.44944,0.387,0.95979,0.47564,0.55,0.68346,0.19474,0.91359,86.5084,1.42013,0.0005348,0.0005348,0.0005348
39,3085.67,0.47249,0.40478,0.9716,0.56759,0.55,0.67929,0.20547,0.87704,79.1952,1.33279,0.0004952,0.0004952,0.0004952
40,3165.23,0.42623,0.37632,0.94186,0.4708,0.55,0.68136,0.20586,0.86339,95.3548,1.29022,0.0004556,0.0004556,0.0004556
41,3243.73,0.36977,0.38338,0.95046,0.43101,0.55,0.69016,0.2186,0.84563,98.9896,1.23448,0.000416,0.000416,0.000416
42,3321.65,0.37996,0.367,0.9602,0.67924,0.55,0.69016,0.2193,0.8395,66.2085,1.21837,0.0003764,0.0003764,0.0003764
43,3398.92,0.36545,0.33921,0.94578,0.66448,0.55,0.68136,0.16935,0.88679,85.2451,1.32169,0.0003368,0.0003368,0.0003368
44,3477.14,0.35857,0.32911,0.94161,0.34293,0.55,0.68136,0.19838,0.86544,115.946,1.26327,0.0002972,0.0002972,0.0002972
45,3554.73,0.36916,0.33425,0.94916,0.34282,0.55,0.68136,0.19912,0.87457,116.184,1.2678,0.0002576,0.0002576,0.0002576
46,3633.57,0.35727,0.32645,0.93188,0.38516,0.55,0.68136,0.19622,0.88156,105.301,1.29058,0.000218,0.000218,0.000218
47,3712.95,0.36655,0.33148,0.947,0.40888,0.55,0.68136,0.20064,0.88035,99.4377,1.28948,0.0001784,0.0001784,0.0001784
48,3790.37,0.34958,0.31513,0.91672,0.40014,0.55,0.6772,0.19425,0.89807,98.4831,1.30471,0.0001388,0.0001388,0.0001388
49,3868,0.35563,0.31315,0.92798,0.37005,0.55,0.67303,0.19302,0.90037,100.957,1.30396,9.92e-05,9.92e-05,9.92e-05
50,3945.29,0.33631,0.30907,0.91968,0.30196,1,0.67303,0.20407,0.89884,105.38,1.30545,5.96e-05,5.96e-05,5.96e-05
